minRoll,maxRoll,textRolls,position,effect,static,regex,modifierId
20,30,,0,Gain # Energy Shield per Enemy Hit while affected by Discipline,,Gain ([+-]?([0-9]*[.])?[0-9]+) Energy Shield per Enemy Hit while affected by Discipline,351
10,15,,0,#% increased Energy Shield Recovery Rate while affected by Discipline,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Energy Shield Recovery Rate while affected by Discipline,352
10,15,,0,Damage Penetrates #% Lightning Resistance while affected by Wrath,,Damage Penetrates ([+-]?([0-9]*[.])?[0-9]+)% Lightning Resistance while affected by Wrath,353
1,1.5,,0,#% of Lightning Damage is Leeched as Energy Shield while affected by Wrath,,([+-]?([0-9]*[.])?[0-9]+)% of Lightning Damage is Leeched as Energy Shield while affected by Wrath,354
15,25,,0,Gain #% of Physical Damage as Extra Lightning Damage while affected by Wrath,,Gain ([+-]?([0-9]*[.])?[0-9]+)% of Physical Damage as Extra Lightning Damage while affected by Wrath,355
25,40,,0,#% of Physical Damage Converted to Lightning Damage while affected by Wrath,,([+-]?([0-9]*[.])?[0-9]+)% of Physical Damage Converted to Lightning Damage while affected by Wrath,356
40,60,,0,#% increased Lightning Damage while affected by Wrath,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Lightning Damage while affected by Wrath,357
70,100,,0,#% increased Critical Strike Chance while affected by Wrath,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Critical Strike Chance while affected by Wrath,358
10,15,,0,Damage Penetrates #% Fire Resistance while affected by Anger,,Damage Penetrates ([+-]?([0-9]*[.])?[0-9]+)% Fire Resistance while affected by Anger,359
1,1.5,,0,#% of Fire Damage Leeched as Life while affected by Anger,,([+-]?([0-9]*[.])?[0-9]+)% of Fire Damage Leeched as Life while affected by Anger,360
15,25,,0,Gain #% of Physical Damage as Extra Fire Damage while affected by Anger,,Gain ([+-]?([0-9]*[.])?[0-9]+)% of Physical Damage as Extra Fire Damage while affected by Anger,361
25,40,,0,#% of Physical Damage Converted to Fire Damage while affected by Anger,,([+-]?([0-9]*[.])?[0-9]+)% of Physical Damage Converted to Fire Damage while affected by Anger,362
40,60,,0,#% increased Fire Damage while affected by Anger,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Fire Damage while affected by Anger,363
30,50,,0,+#% to Critical Strike Multiplier while affected by Anger,,(\+|\-)([+-]?([0-9]*[.])?[0-9]+)% to Critical Strike Multiplier while affected by Anger,364
10,15,,0,Damage Penetrates #% Cold Resistance while affected by Hatred,,Damage Penetrates ([+-]?([0-9]*[.])?[0-9]+)% Cold Resistance while affected by Hatred,365
1.2,1.8,,0,+#% to Critical Strike Chance while affected by Hatred,,(\+|\-)([+-]?([0-9]*[.])?[0-9]+)% to Critical Strike Chance while affected by Hatred,366
58,78,,0,Adds # to # Cold Damage while affected by Hatred,,Adds ([+-]?([0-9]*[.])?[0-9]+) to ([+-]?([0-9]*[.])?[0-9]+) Cold Damage while affected by Hatred,367
80,104,,1,Adds # to # Cold Damage while affected by Hatred,,Adds ([+-]?([0-9]*[.])?[0-9]+) to ([+-]?([0-9]*[.])?[0-9]+) Cold Damage while affected by Hatred,368
25,40,,0,#% of Physical Damage Converted to Cold Damage while affected by Hatred,,([+-]?([0-9]*[.])?[0-9]+)% of Physical Damage Converted to Cold Damage while affected by Hatred,369
40,60,,0,#% increased Cold Damage while affected by Hatred,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Cold Damage while affected by Hatred,370
0.8,1.2,,0,#% of Damage leeched as Life while affected by Vitality,,([+-]?([0-9]*[.])?[0-9]+)% of Damage leeched as Life while affected by Vitality,371
1,1.5,,0,Regenerate #% of Life per second while affected by Vitality,,Regenerate ([+-]?([0-9]*[.])?[0-9]+)% of Life per second while affected by Vitality,372
10,15,,0,#% increased Life Recovery Rate while affected by Vitality,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Life Recovery Rate while affected by Vitality,373
20,30,,0,Gain # Life per Enemy Hit while affected by Vitality,,Gain ([+-]?([0-9]*[.])?[0-9]+) Life per Enemy Hit while affected by Vitality,374
50,70,,0,#% increased Life Recovery from Flasks while affected by Vitality,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Life Recovery from Flasks while affected by Vitality,375
-10,-5,,0,Non-Channelling Skills have +# to Total Mana Cost while affected by Clarity,,Non-Channelling Skills have (\+|\-)([+-]?([0-9]*[.])?[0-9]+) to Total Mana Cost while affected by Clarity,376
6,10,,0,#% of Damage taken from Mana before Life while affected by Clarity,,([+-]?([0-9]*[.])?[0-9]+)% of Damage taken from Mana before Life while affected by Clarity,377
10,15,,0,#% chance to Recover 10% of Mana when you use a Skill while affected by Clarity,,([+-]?([0-9]*[.])?[0-9]+)% chance to Recover 10% of Mana when you use a Skill while affected by Clarity,378
6,10,,0,Gain #% of Maximum Mana as Extra Maximum Energy Shield while affected by Clarity,,Gain ([+-]?([0-9]*[.])?[0-9]+)% of Maximum Mana as Extra Maximum Energy Shield while affected by Clarity,379
10,15,,0,#% increased Mana Recovery Rate while affected by Clarity,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Mana Recovery Rate while affected by Clarity,380
15,20,,0,#% of Damage taken while affected by Clarity Recouped as Mana,,([+-]?([0-9]*[.])?[0-9]+)% of Damage taken while affected by Clarity Recouped as Mana,381
5,8,,0,+#% chance to Suppress Spell Damage while affected by Haste,,(\+|\-)([+-]?([0-9]*[.])?[0-9]+)% chance to Suppress Spell Damage while affected by Haste,382
15,20,,0,Debuffs on you expire #% faster while affected by Haste,,Debuffs on you expire ([+-]?([0-9]*[.])?[0-9]+)% faster while affected by Haste,383
30,50,,0,#% increased Cooldown Recovery Rate of Movement Skills used while affected by Haste,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Cooldown Recovery Rate of Movement Skills used while affected by Haste,384
6,10,,0,#% of Physical Damage from Hits taken as Fire Damage while affected by Purity of Fire,,([+-]?([0-9]*[.])?[0-9]+)% of Physical Damage from Hits taken as Fire Damage while affected by Purity of Fire,385
6,10,,0,#% of Physical Damage from Hits taken as Cold Damage while affected by Purity of Ice,,([+-]?([0-9]*[.])?[0-9]+)% of Physical Damage from Hits taken as Cold Damage while affected by Purity of Ice,386
6,10,,0,#% of Physical Damage from Hits taken as Lightning Damage while affected by Purity of Lightning,,([+-]?([0-9]*[.])?[0-9]+)% of Physical Damage from Hits taken as Lightning Damage while affected by Purity of Lightning,387
8,12,,0,#% of Physical Damage from Hits taken as Fire Damage while affected by Purity of Elements,,([+-]?([0-9]*[.])?[0-9]+)% of Physical Damage from Hits taken as Fire Damage while affected by Purity of Elements,388
8,12,,0,#% of Physical Damage from Hits taken as Cold Damage while affected by Purity of Elements,,([+-]?([0-9]*[.])?[0-9]+)% of Physical Damage from Hits taken as Cold Damage while affected by Purity of Elements,389
8,12,,0,#% of Physical Damage from Hits taken as Lightning Damage while affected by Purity of Elements,,([+-]?([0-9]*[.])?[0-9]+)% of Physical Damage from Hits taken as Lightning Damage while affected by Purity of Elements,390
30,50,,0,+#% to Chaos Resistance while affected by Purity of Elements,,(\+|\-)([+-]?([0-9]*[.])?[0-9]+)% to Chaos Resistance while affected by Purity of Elements,391
40,50,,0,#% reduced Reflected Elemental Damage taken while affected by Purity of Elements,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Reflected Elemental Damage taken while affected by Purity of Elements,392
18,22,,0,+#% to Damage over Time Multiplier while affected by Malevolence,,(\+|\-)([+-]?([0-9]*[.])?[0-9]+)% to Damage over Time Multiplier while affected by Malevolence,393
8,12,,0,#% increased Recovery rate of Life and Energy Shield while affected by Malevolence,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Recovery rate of Life and Energy Shield while affected by Malevolence,394
10,15,,0,Damaging Ailments you inflict deal Damage #% faster while affected by Malevolence,,Damaging Ailments you inflict deal Damage ([+-]?([0-9]*[.])?[0-9]+)% faster while affected by Malevolence,395
8,10,,0,Critical Strikes Penetrate #% of Enemy Elemental Resistances while affected by Zealotry,,Critical Strikes Penetrate ([+-]?([0-9]*[.])?[0-9]+)% of Enemy Elemental Resistances while affected by Zealotry,396
10,15,,0,#% increased Cast Speed while affected by Zealotry,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Cast Speed while affected by Zealotry,397
8,10,,0,Consecrated Ground you create while affected by Zealotry causes enemies to take #% increased Damage,,Consecrated Ground you create while affected by Zealotry causes enemies to take ([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Damage,398
100,120,,0,#% increased Critical Strike Chance against Enemies on Consecrated Ground while affected by Zealotry,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Critical Strike Chance against Enemies on Consecrated Ground while affected by Zealotry,399
20,30,,0,+#% to Critical Strike Multiplier while affected by Precision,,(\+|\-)([+-]?([0-9]*[.])?[0-9]+)% to Critical Strike Multiplier while affected by Precision,400
40,60,,0,#% increased Attack Damage while affected by Precision,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Attack Damage while affected by Precision,401
10,15,,0,#% increased Attack Speed while affected by Precision,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Attack Speed while affected by Precision,402
8,12,,0,#% chance to deal Double Damage while using Pride,,([+-]?([0-9]*[.])?[0-9]+)% chance to deal Double Damage while using Pride,403
40,60,,0,#% increased Physical Damage while using Pride,,([+-]?([0-9]*[.])?[0-9]+)% (increased|reduced) Physical Damage while using Pride,404
,,,0,Unaffected by Vulnerability while affected by Determination,True,,405
,,,0,Unaffected by Enfeeble while affected by Grace,True,,406
,,,0,You gain Onslaught for 4 seconds on Kill while affected by Haste,True,,407
,,,0,You have Phasing while affected by Haste,True,,408
,,,0,Unaffected by Temporal Chains while affected by Haste,True,,409
,,,0,Immune to Ignite while affected by Purity of Fire,True,,410
,,,0,Unaffected by Burning Ground while affected by Purity of Fire,True,,411
,,,0,Unaffected by Flammability while affected by Purity of Fire,True,,412
,,,0,Immune to Freeze while affected by Purity of Ice,True,,413
,,,0,Unaffected by Chilled Ground while affected by Purity of Ice,True,,414
,,,0,Unaffected by Frostbite while affected by Purity of Ice,True,,415
,,,0,Immune to Shock while affected by Purity of Lightning,True,,416
,,,0,Unaffected by Shocked Ground while affected by Purity of Lightning,True,,417
,,,0,Unaffected by Conductivity while affected by Purity of Lightning,True,,418
,,,0,Unaffected by Elemental Weakness while affected by Purity of Elements,True,,419
,,,0,Unaffected by Poison while affected by Malevolence,True,,420
,,,0,Unaffected by Bleeding while affected by Malevolence,True,,421
,,,0,Effects of Consecrated Ground you create while affected by Zealotry Linger for 2 seconds,True,,422
,,,0,Gain Arcane Surge for 4 seconds when you create Consecrated Ground while affected by Zealotry,True,,423
,,,0,30% increased Maximum total Energy Shield Recovery per second from Leech while affected by Zealotry,True,,424
,,,0,Gain a Flask Charge when you deal a Critical Strike while affected by Precision,True,,425
,,,0,Cannot be Blinded while affected by Precision,True,,426
,,,0,Your Hits Intimidate Enemies for 4 seconds while you are using Pride,True,,427
,,,0,25% chance to Impale Enemies on Hit with Attacks while using Pride,True,,428
,,,0,Impales you inflict last 2 additional Hits while using Pride,True,,429
